05:59:55.708 [__MAIN__] INFO     Starting ED Autopilot V1.7.0.
05:59:55.715 [AUTOPILOT] DEBUG    Log level set to DEBUG from configuration
05:59:55.716 [EDGRAPHICSSETTINGS] INFO     Reading ED graphics display settings from 'C:\Users\Acer Nitro\AppData\Local\Frontier Developments\Elite Dangerous\Options\Graphics\DisplaySettings.xml'.
05:59:55.717 [EDGRAPHICSSETTINGS] INFO     Reading ED graphics settings from 'C:\Users\Acer Nitro\AppData\Local\Frontier Developments\Elite Dangerous\Options\Graphics\Settings.xml'.
05:59:55.717 [EDGRAPHICSSETTINGS] DEBUG    Elite Dangerous Display Config 'ScreenWidth': 2560.
05:59:55.719 [EDGRAPHICSSETTINGS] DEBUG    Elite Dangerous Display Config 'ScreenHeight': 1440.
05:59:55.719 [EDGRAPHICSSETTINGS] DEBUG    Elite Dangerous Display Config 'Fullscreen': Borderless.
05:59:55.719 [EDGRAPHICSSETTINGS] DEBUG    Elite Dangerous Display Config 'Monitor': 0.
05:59:55.719 [EDGRAPHICSSETTINGS] DEBUG    Elite Dangerous Graphics Options 'FOV': 54.848240.
05:59:55.725 [SCREEN] DEBUG    Found Elite Dangerous window position: (0, 0, 2560, 1440)
05:59:55.725 [SCREEN] DEBUG    Found monitor 1 with details: {'left': 0, 'top': 0, 'width': 2560, 'height': 1440}
05:59:55.725 [SCREEN] DEBUG    Elite Dangerous is on monitor 1.
05:59:55.726 [SCREEN] DEBUG    read json:{'1024x768': [0.39, 0.39], '1080x1080': [0.5, 0.5], '1280x800': [0.48, 0.48], '1280x1024': [0.5, 0.5], '1600x900': [0.6, 0.6], '1920x1080': [0.75, 0.75], '1920x1200': [0.73, 0.73], '1920x1440': [0.8, 0.8], '2560x1080': [0.75, 0.75], '2560x1440': [1.0, 1.0], '3440x1440': [1.0, 1.0], '3840 x 2160': [1.52, 1.52], 'Calibrated': [-1.0, -1.0]}
05:59:55.726 [SCREEN] DEBUG    screen size: 2560 1440
05:59:55.726 [SCREEN] DEBUG    Default scale X, Y: 1.0, 1.0
05:59:57.494 [comtypes] DEBUG    CoInitializeEx(None, 2)
05:59:57.503 [EDJOURNAL] INFO     Opening new Journal: C:\Users\Acer Nitro\Saved Games\Frontier Developments\Elite Dangerous\Journal.2025-10-17T222134.01.log
05:59:57.513 [EDJOURNAL] DEBUG    [EDJOURNAL] Using temp copy for safe read
05:59:57.527 [EDJOURNAL] DEBUG    Journal*.log: read: 1 ship: {'time': 406, 'odyssey': True, 'status': 'in_space', 'type': None, 'location': None, 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': None, 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': None, 'fuel_level': None, 'fuel_percent': 10, 'is_scooping': False, 'cur_star_system': '', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': None, 'ship_size': None, 'has_fuel_scoop': None, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': None, 'has_std_dock_comp': None, 'has_sco_fsd': None, 'StationServices': None, 'target_latitude': None, 'target_longitude': None, 'target_altitude': None}
05:59:57.528 [EDJOURNAL] DEBUG    Journal*.log: read: 8 ship: {'time': 406, 'odyssey': True, 'status': 'in_space', 'type': 'cutter', 'location': None, 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': None, 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 64.0, 'fuel_level': 31.520004, 'fuel_percent': 49, 'is_scooping': False, 'cur_star_system': '', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': None, 'ship_size': 'L', 'has_fuel_scoop': None, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': None, 'has_std_dock_comp': None, 'has_sco_fsd': None, 'StationServices': None, 'target_latitude': None, 'target_longitude': None, 'target_altitude': None}
05:59:57.529 [EDJOURNAL] DEBUG    Journal*.log: read: 11 ship: {'time': 406, 'odyssey': True, 'status': 'in_space', 'type': 'cutter', 'location': 'Col 285 Sector OC-V d2-65', 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': None, 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 64.0, 'fuel_level': 31.520004, 'fuel_percent': 49, 'is_scooping': False, 'cur_star_system': 'Col 285 Sector OC-V d2-65', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': None, 'ship_size': 'L', 'has_fuel_scoop': None, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': None, 'has_std_dock_comp': None, 'has_sco_fsd': None, 'StationServices': None, 'target_latitude': None, 'target_longitude': None, 'target_altitude': None}
